"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","pub_rec_bankruptcies","collections_12_mths_ex_med","mths_since_last_major_derog"
15000,60,7.46,300.29,"A","A4","10+ years","MORTGAGE",45000,"Credit card refinancing","Credit card refinancing","782xx","TX",12.11,0,2,NA,NA,9,0,20984,76.6,25,"f",0,0,"null"
20000,36,7.46,621.76,"A","A4","4 years","OWN",67000,"Debt consolidation","Debt consolidation","080xx","NJ",19.99,0,1,NA,NA,22,0,13783,27.6,31,"f",0,0,"null"
30000,60,7.46,600.57,"A","A4","< 1 year","RENT",60000,"Debt consolidation","Debt consolidation","727xx","AR",20.32,0,0,NA,NA,9,0,21204,57.6,22,"f",0,0,"null"
15000,36,5.31,451.66,"A","A1","3 years","RENT",180000,"Credit card refinancing","Credit card refinancing","950xx","CA",12.11,1,0,9,NA,16,0,25797,53.9,46,"f",0,0,"9"
20000,36,8.08,627.47,"A","A5","5 years","RENT",52000,"Credit card refinancing","Credit card refinancing","300xx","GA",14.17,0,0,NA,NA,5,0,16595,67.7,6,"f",0,0,"null"
14000,60,7.46,280.27,"A","A4","1 year","MORTGAGE",75000,"Credit card refinancing","Credit card refinancing","130xx","NY",27.31,0,0,NA,NA,18,0,17597,45.7,31,"f",0,0,"null"
16000,36,23.87,626.64,"E","E2","3 years","RENT",71000,"Debt consolidation","Debt consolidation","173xx","PA",32.86,0,0,NA,NA,21,0,43008,85.2,33,"f",0,0,"null"
5000,36,13.06,168.62,"C","C1","< 1 year","RENT",38000,"Debt consolidation","Debt consolidation","339xx","FL",12.48,0,0,NA,105,5,1,7031,68.3,11,"f",1,0,"null"
35000,60,6.19,679.75,"A","A2","7 years","MORTGAGE",230000,"Credit card refinancing","Credit card refinancing","223xx","VA",21.12,0,0,NA,NA,5,0,236851,80.5,11,"f",0,0,"null"
15750,36,6.19,480.51,"A","A2","10+ years","MORTGAGE",62000,"Credit card refinancing","Credit card refinancing","894xx","NV",25.94,0,0,NA,NA,14,0,38452,58.2,27,"f",0,0,"null"
25000,36,8.08,784.34,"A","A5","< 1 year","RENT",68000,"Business","Business","115xx","NY",26.9,0,0,NA,NA,16,0,25888,24.1,21,"f",0,0,"null"
10000,36,14.03,341.93,"C","C2","3 years","MORTGAGE",55000,"Debt consolidation","Debt consolidation","420xx","KY",26.12,0,0,NA,NA,9,0,992,13.8,10,"f",0,0,"null"
12000,36,7.46,373.06,"A","A4","10+ years","MORTGAGE",95000,"Credit card refinancing","Credit card refinancing","337xx","FL",13.93,0,0,NA,NA,7,0,9466,38.6,9,"f",0,0,"null"
