"points","first_name","last_name","Position","Name...ID","Name","ID","Salary","Game.Info"
3.473,"samaje","perine","RB","Samaje Perine (24169448)","samaje perine",24169448,4600,"CIN@NYJ 09/25/2022 01:00PM ET"
3.196,"sony","michel","RB","Sony Michel (24169458)","sony michel",24169458,4400,"JAX@LAC 09/25/2022 04:05PM ET"
2.88125,"travis","homer","RB","Travis Homer (24169436)","travis homer",24169436,4800,"ATL@SEA 09/25/2022 04:25PM ET"
2.76575,"jamycal","hasty","RB","JaMycal Hasty (24169634)","jamycal hasty",24169634,4000,"JAX@LAC 09/25/2022 04:05PM ET"
2.635,"zack","moss","RB","Zack Moss (24169432)","zack moss",24169432,4800,"BUF@MIA 09/25/2022 01:00PM ET"
2.572,"joshua","kelley","RB","Joshua Kelley (24169446)","joshua kelley",24169446,4600,"JAX@LAC 09/25/2022 04:05PM ET"
2.433,"boston","scott","RB","Boston Scott (24169440)","boston scott",24169440,4700,"PHI@WAS 09/25/2022 01:00PM ET"
2.35175,"brandon","bolden","RB","Brandon Bolden (24169468)","brandon bolden",24169468,4300,"LV@TEN 09/25/2022 01:00PM ET"
2.259,"craig","reynolds","RB","Craig Reynolds (24169474)","craig reynolds",24169474,4200,"DET@MIN 09/25/2022 01:00PM ET"
2.235,"mike","davis","RB","Mike Davis (24169466)","mike davis",24169466,4300,"BAL@NE 09/25/2022 01:00PM ET"
2.14,"damien","williams","RB","Damien Williams (24169568)","damien williams",24169568,4000,"ATL@SEA 09/25/2022 04:25PM ET"
1.83525,"deejay","dallas","RB","DeeJay Dallas (24169546)","deejay dallas",24169546,4000,"ATL@SEA 09/25/2022 04:25PM ET"
1.785,"myles","gaskin","RB","Myles Gaskin (24169614)","myles gaskin",24169614,4000,"BUF@MIA 09/25/2022 01:00PM ET"
1.781,"hassan","haskins","RB","Hassan Haskins (24169428)","hassan haskins",24169428,4900,"LV@TEN 09/25/2022 01:00PM ET"
1.7605,"dare","ogunbowale","RB","Dare Ogunbowale (24169602)","dare ogunbowale",24169602,4000,"HOU@CHI 09/25/2022 01:00PM ET"
1.76,"snoop","conner","RB","Snoop Conner (24169636)","snoop conner",24169636,4000,"JAX@LAC 09/25/2022 04:05PM ET"
1.717,"ameer","abdullah","RB","Ameer Abdullah (24169550)","ameer abdullah",24169550,4000,"LV@TEN 09/25/2022 01:00PM ET"
1.706,"raheem","blackshear","RB","Raheem Blackshear (24169502)","raheem blackshear",24169502,4000,"NO@CAR 09/25/2022 01:00PM ET"
1.7,"ty","montgomery","WR","Ty Montgomery (24170024)","ty montgomery",24170024,3000,"BAL@NE 09/25/2022 01:00PM ET"
