"Date","TSAscreenings"
"10/24/20",983745
"10/25/20",898735
"10/26/20",648517
"10/27/20",666957
"10/28/20",873636
"10/29/20",892712
"10/30/20",618476
"10/31/20",936092
"11/1/20",846138
"11/2/20",575829
"11/3/20",636533
"11/4/20",867105
"11/5/20",895091
"11/6/20",689951
"11/7/20",973020
"11/8/20",836600
"11/9/20",596475
"11/10/20",674633
"11/11/20",866679
"11/12/20",881579
"11/13/20",697360
"11/14/20",978297
"11/15/20",883157
"11/16/20",611497
"11/17/20",703135
"11/18/20",907332
"11/19/20",1019836
"11/20/20",984369
"11/21/20",1047934
"11/22/20",917354
"11/23/20",912090
"11/24/20",1070967
"11/25/20",560902
"11/26/20",820399
"11/27/20",964630
"11/28/20",1176091
"11/29/20",981912
"11/30/20",780283
"12/1/20",632356
"12/2/20",738050
"12/3/20",753951
"12/4/20",629430
"12/5/20",837137
"12/6/20",703546
"12/7/20",501513
"12/8/20",564372
"12/9/20",754307
"12/10/20",787489
"12/11/20",662380
"12/12/20",865014
"12/13/20",752451
"12/14/20",552024
"12/15/20",641966
"12/16/20",846934
"12/17/20",1066747
"12/18/20",1073563
"12/19/20",1064619
"12/20/20",954782
"12/21/20",992167
"12/22/20",1191123
"12/23/20",846520
"12/24/20",616469
"12/25/20",1128773
"12/26/20",1284599
"12/27/20",1111751
"12/28/20",1019347
"12/29/20",1163696
"12/30/20",874406
"12/31/20",805990
"1/1/21",1192881
"1/2/21",1327289
"1/3/21",1080346
"1/4/21",766594
"1/5/21",665855
"1/6/21",771734
"1/7/21",772471
"1/8/21",709444
"1/9/21",886536
"1/10/21",708177
"1/11/21",520117
"1/12/21",567401
"1/13/21",803688
"1/14/21",903039
"1/15/21",690438
"1/16/21",810654
"1/17/21",878048
"1/18/21",560190
"1/19/21",542338
"1/20/21",728978
"1/21/21",755028
"1/22/21",603527
"1/23/21",838116
"1/24/21",701709
"1/25/21",468933
"1/26/21",536935
"1/27/21",750558
"1/28/21",774688
"1/29/21",617489
"1/30/21",859039
"1/31/21",628989
"2/1/21",493338
"2/2/21",618615
"2/3/21",778065
"2/4/21",868624
"2/5/21",705951
"2/6/21",854636
"2/7/21",864783
"2/8/21",617619
"2/9/21",735009
"2/10/21",1034514
"2/11/21",1151420
"2/12/21",900696
"2/13/21",946458
"2/14/21",967693
"2/15/21",738825
"2/16/21",773422
"2/17/21",914823
"2/18/21",1059452
"2/19/21",942238
"2/20/21",1115479
"2/21/21",963280
"2/22/21",714725
"2/23/21",802230
"2/24/21",1051149
"2/25/21",1096348
"2/26/21",917282
"2/27/21",1190682
"2/28/21",1049692
"3/1/21",744812
"3/2/21",826924
"3/3/21",1107534
"3/4/21",1168734
"3/5/21",992406
"3/6/21",1278557
"3/7/21",1119303
"3/8/21",825745
"3/9/21",974221
"3/10/21",1286894
"3/11/21",1409771
"3/12/21",1227484
"3/13/21",1345284
"3/14/21",1267345
"3/15/21",1092548
"3/16/21",1146539
"3/17/21",1413141
"3/18/21",1477841
"3/19/21",1373259
"3/20/21",1543136
"3/21/21",1360290
"3/22/21",1076453
"3/23/21",1164954
"3/24/21",1444744
"3/25/21",1535156
"3/26/21",1408198
"3/27/21",1574228
"3/28/21",1406234
"3/29/21",1130520
"3/30/21",1278113
"3/31/21",1562239
"4/1/21",1580785
"4/2/21",1397958
"4/3/21",1543474
"4/4/21",1561959
"4/5/21",1195306
"4/6/21",1230939
"4/7/21",1510829
"4/8/21",1549181
"4/9/21",1378237
"4/10/21",1561495
"4/11/21",1468972
"4/12/21",1085034
"4/13/21",1152703
"4/14/21",1491435
"4/15/21",1468218
"4/16/21",1277815
"4/17/21",1572383
"4/18/21",1412500
"4/19/21",1082443
"4/20/21",1164099
"4/21/21",1509649
"4/22/21",1521393
"4/23/21",1259724
"4/24/21",1571220
"4/25/21",1369410
"4/26/21",1077199
"4/27/21",1184326
"4/28/21",1526681
"4/29/21",1558553
"4/30/21",1335535
"5/1/21",1626962
"5/2/21",1463672
"5/3/21",1134103
"5/4/21",1268938
"5/5/21",1644050
