"mlsNum","ADDRESS","CITY","STATE","ZIP","LAT","LON","PROPERTY.TYPE","BEDS","BATHS","Community","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","HOA.MONTH","URL","SOURCE","monthPayment","style","pricePerSqFt","redfinEst","PRICE"
73053370,"53 Nightingale Dr","Yarmouth","MA","02664",41.6838152,-70.2037311,"Single Family Residential",3,1,"Fleetwood Park",912,10019,1963,8,NA,"https://www.redfin.com/MA/South-Yarmouth/53-Nightingale-Dr-02664/home/77370870","MLS PIN",2651,"Ranch",471.491228070175,442488,430000
73053323,"2 Piccadilly Rd","Dennis","MA","02660",41.7082997,-70.1654647,"Single Family Residential",1,1,"Dennis",936,9148,1970,8,NA,"https://www.redfin.com/MA/South-Dennis/2-Piccadilly-Rd-02660/home/131798030","MLS PIN",2580,"Ranch",458.333333333333,430761,429000
22205734,"60 Sixth Ave","Hyannis Port","MA","02601",41.6374097,-70.3209337,"Single Family Residential",3,1,"Barnstable",1050,7841,1951,8,17,"https://www.redfin.com/MA/Hyannis/60-Sixth-Ave-02601/home/111045716","CCIMLS",3952,"1951",608.571428571429,636031,639000
73053297,"3 Open Trl","Sandwich","MA","02563",41.6826545,-70.4445625,"Single Family Residential",3,3.5,"The Ridge Club",3333,18730,2004,8,283,"https://www.redfin.com/MA/Sandwich/3-Open-Trail-Rd-02563/home/134969918","MLS PIN",6936,"2004",308.730873087309,1042642,1029000
73053291,"184 Barcliff Ave","Chatham","MA","02633",41.6904356,-69.9589188,"Single Family Residential",4,1.5,"Chatham",1843,9950,1900,8,NA,"https://www.redfin.com/MA/Chatham/184-Barcliff-Ave-02633/home/131399114","MLS PIN",6645,"Cape",610.417797069995,1090499,1125000
22205652,"11 Snows Field Rd","Truro","MA","02666",42.0013704,-70.0580131,"Single Family Residential",3,1,"Truro",1364,34848,1975,8,NA,"https://www.redfin.com/MA/Truro/11-Snowsfield-Rd-02536/home/135270576","CCIMLS",5379,"Ranch",656.158357771261,897256,895000
73053208,"30 Ayer Ln","Harwich","MA","02646",41.6662863,-70.0778767,"Single Family Residential",4,2,"Harwich",2292,NA,1928,9,NA,"https://www.redfin.com/MA/Harwich-Port/30-Ayer-Ln-02646/home/111938000","MLS PIN",17894,"Cape",1308.90052356021,2992691,3000000
73053197,"70 Simons Rd Unit B","Mashpee","MA","02649",41.6236619,-70.4607783,"Condo/Co-op",2,2.5,"South Mashpee",2060,NA,2014,9,720,"https://www.redfin.com/MA/Mashpee/70-Simons-Rd-02649/unit-B/home/133676742","MLS PIN",9698,"2014",725.728155339806,1494742,1495000
73053160,"380 Freemans Way","Brewster","MA","02631",41.7398621,-70.0396841,"Single Family Residential",3,2,"Brewster",1557,25760,1972,9,NA,"https://www.redfin.com/MA/Brewster/380-Freemans-Way-02631/home/131193113","MLS PIN",4177,"Ranch",448.940269749518,700271,699000
73053158,"789 S Main St","Barnstable","MA","02632",41.6356533,-70.3558539,"Single Family Residential",7,7,"Centerville",7413,43124,1870,9,NA,"https://www.redfin.com/MA/Centerville/789-S-Main-St-02632/home/111031257","MLS PIN",43824,"1870",978.011601241063,7159877,7250000
22205727,"70 Simons Road B Unit B","Mashpee","MA","02649",41.6290319,-70.4620602,"Condo/Co-op",2,2.5,"Willowbend",2060,NA,2014,9,720,"https://www.redfin.com/MA/Mashpee/70-Simons-Rd-02649/unit-B/home/179656283","CCIMLS",9689,"2014",725.728155339806,1493560,1495000
22205719,"42 Pond St","Osterville","MA","02655",41.6338938,-70.3880752,"Single Family Residential",3,2.5,"Barnstable",2609,247856,1988,9,NA,"https://www.redfin.com/MA/Osterville/42-Pond-St-02655/home/110991978","CCIMLS",8944,"Cape",573.016481410502,1488853,1495000
22205716,"393 Main St","Chatham","MA","02633",41.6786561,-69.953886,"Single Family Residential",3,3,"Chatham",1650,NA,1910,9,NA,"https://www.redfin.com/MA/Chatham/393-Main-St-02633/home/131497721","CCIMLS",13479,"Cape",1390.90909090909,2306396,2295000
22205717,"391 Main St","Chatham","MA","02633",41.6785189,-69.9536613,"Single Family Residential",2,2,"Chatham",958,NA,1883,3,NA,"https://www.redfin.com/MA/Chatham/391-Main-St-02633/home/79019902","CCIMLS",7097,"Cape",1247.39039665971,1191502,1195000
73052999,"46 Chippingstone Rd","Barnstable","MA","02648",41.6582856,-70.4435398,"Single Family Residential",3,2,"Barnstable",1267,28314,1983,9,NA,"https://www.redfin.com/MA/Marstons-Mills/46-Chippingstone-Rd-02648/home/77367624","MLS PIN",3031,"Cape",385.951065509077,489492,489000
73053000,"32 Pine St","Sandwich","MA","02563",41.7512439,-70.5086672,"Single Family Residential",3,3,"Sandwich (village)",2706,20038,1969,9,NA,"https://www.redfin.com/MA/Sandwich/32-Pine-St-02563/home/134868284","MLS PIN",5043,"Cape",290.09608277901,788308,785000
73052968,"985 State Hwy #0","Eastham","MA","02642",41.809208,-69.9735255,"Condo/Co-op",1,2,"Eastham",408,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/985-State-Hwy-02642/home/182490315","MLS PIN",2733,"1958",904.411764705882,370123,369000
73052963,"973 State Hwy #0","Eastham","MA","02642",41.8087879,-69.9733214,"Condo/Co-op",1,2,"Eastham",408,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/973-State-Hwy-02642/home/179550010","MLS PIN",2733,"1958",904.411764705882,372052,369000
73052967,"983 State Hwy #0","Eastham","MA","02642",41.809147,-69.9735706,"Condo/Co-op",1,2,"Eastham",408,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/983-State-Hwy-02642/home/182489941","MLS PIN",2733,"1958",904.411764705882,370297,369000
73052965,"975 State Hwy #0","Eastham","MA","02642",41.8087926,-69.9733179,"Condo/Co-op",1,2,"Eastham",408,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/975-State-Hwy-02642/home/182489942","MLS PIN",2733,"1958",904.411764705882,370475,369000
73052957,"965 State Hwy #0","Eastham","MA","02642",41.8087584,-69.9733435,"Condo/Co-op",1,2,"Eastham",640,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/965-State-Hwy-02642/home/182490750","MLS PIN",3204,"1958",685.9375,440705,439000
73052955,"963 State Hwy #0","Eastham","MA","02642",41.8090374,-69.9740366,"Condo/Co-op",1,2,"Eastham",640,NA,1958,9,250,"https://www.redfin.com/MA/Eastham/963-State-Hwy-02642/home/182490484","MLS PIN",3204,"1958",685.9375,441026,439000
22205670,"8 Meadow Brook Rd","Chatham","MA","02633",41.694767,-69.969107,"Single Family Residential",3,1,"Chatham",912,11300,1961,9,NA,"https://www.redfin.com/MA/Chatham/8-Meadow-Brook-RD-02633/home/182530363","CCIMLS",4031,"Ranch",762.061403508772,697829,695000
