date,TSA_screenings,,
4/18/21,"1,412,500",,
4/19/21,"1,082,443",,
4/20/21,"1,164,099",,
4/21/21,"1,509,649",,
4/22/21,"1,521,393",,
4/23/21,"1,259,724",,
4/24/21,"1,571,220",,
4/25/21,"1,369,410",,
4/26/21,"1,077,199",,
4/27/21,"1,184,326",,
4/28/21,"1,526,681",,
4/29/21,"1,558,553",,
4/30/21,"1,335,535",,
5/1/21,"1,626,962",,
5/2/21,"1,463,672",,
5/3/21,"1,134,103",,
5/4/21,"1,268,938",,
5/5/21,"1,644,050",,
5/6/21,"1,703,267",,
5/7/21,"1,429,657",,
5/8/21,"1,707,805",,
5/9/21,"1,657,722",,
5/10/21,"1,315,493",,
5/11/21,"1,424,664",,
5/12/21,"1,743,515",,
5/13/21,"1,716,561",,
5/14/21,"1,453,267",,
5/15/21,"1,850,531",,
5/16/21,"1,734,541",,
5/17/21,"1,408,017",,
5/18/21,"1,496,089",,
5/19/21,"1,728,496",,
5/20/21,"1,820,433",,
5/21/21,"1,550,044",,
5/22/21,"1,863,697",,
5/23/21,"1,747,353",,
5/24/21,"1,470,840",,
5/25/21,"1,618,169",,
5/26/21,"1,854,534",,
5/27/21,"1,959,593",,
5/28/21,"1,605,810",,
5/29/21,"1,650,454",,
5/30/21,"1,900,170",,
5/31/21,"1,682,752",,
6/1/21,"1,587,910",,
6/2/21,"1,815,931",,
6/3/21,"1,879,885",,
6/4/21,"1,681,192",,
6/5/21,"1,984,658",,
6/6/21,"1,828,396",,
6/7/21,"1,560,561",,
6/8/21,"1,669,537",,
6/9/21,"1,975,189",,
6/10/21,"2,028,961",,
6/11/21,"1,812,797",,
6/12/21,"2,097,433",,
6/13/21,"1,800,954",,
6/14/21,"1,678,688",,
6/15/21,"1,792,370",,
6/16/21,"2,039,425",,
6/17/21,"2,081,115",,
6/18/21,"1,882,381",,
6/19/21,"2,100,761",,
6/20/21,"2,030,577",,
6/21/21,"1,795,141",,
6/22/21,"1,801,329",,
6/23/21,"2,085,327",,
6/24/21,"2,137,584",,
6/25/21,"1,918,705",,
6/26/21,"2,167,380",,
6/27/21,"2,066,964",,
6/28/21,"1,808,306",,
6/29/21,"1,920,663",,
6/30/21,"2,147,090",,
7/1/21,"2,196,411",,
7/2/21,"1,915,017",,
7/3/21,"1,681,896",,
7/4/21,"2,160,147",,
7/5/21,"1,889,911",,
7/6/21,"1,880,160",,
7/7/21,"2,027,364",,
7/8/21,"2,147,903",,
7/9/21,"1,987,652",,
7/10/21,"2,198,635",,
7/11/21,"2,093,066",,
7/12/21,"1,832,878",,
7/13/21,"1,900,945",,
7/14/21,"2,152,053",,
7/15/21,"2,199,815",,
7/16/21,"1,979,981",,
7/17/21,"2,227,704",,
7/18/21,"2,141,429",,
7/19/21,"1,871,986",,
7/20/21,"1,934,918",,
7/21/21,"2,101,343",,
7/22/21,"2,159,300",,
7/23/21,"1,942,871",,
7/24/21,"2,177,129",,
7/25/21,"2,124,474",,
7/26/21,"1,858,328",,
7/27/21,"1,923,980",,
7/28/21,"2,127,634",,
7/29/21,"2,198,585",,
7/30/21,"2,007,412",,
7/31/21,"2,238,462",,
8/1/21,"2,031,758",,
8/2/21,"1,797,120",,
8/3/21,"1,855,299",,
8/4/21,"2,063,720",,
8/5/21,"2,109,091",,
8/6/21,"1,925,641",,
8/7/21,"2,168,264",,
8/8/21,"2,022,858",,
8/9/21,"1,727,075",,
8/10/21,"1,761,348",,
8/11/21,"2,045,301",,
8/12/21,"2,065,379",,
8/13/21,"1,811,767",,
8/14/21,"2,114,166",,
8/15/21,"1,980,585",,
8/16/21,"1,607,238",,
8/17/21,"1,678,231",,
8/18/21,"1,945,026",,
8/19/21,"1,990,608",,
8/20/21,"1,685,462",,
8/21/21,"1,965,020",,
8/22/21,"1,820,355",,
8/23/21,"1,468,219",,
8/24/21,"1,539,707",,
8/25/21,"1,826,310",,
8/26/21,"1,853,622",,
8/27/21,"1,511,294",,
8/28/21,"1,900,658",,
8/29/21,"1,629,475",,
8/30/21,"1,345,064",,
8/31/21,"1,465,197",,
9/1/21,"1,896,846",,
9/2/21,"2,129,999",,
